Hello,saludos
Good morning,saludos
Good afternoon,saludos
Good evening,saludos
hi,saludos
what’s up,saludos
hey,saludos
yo,saludos
helo,saludos,
hii,saludos
hey how are you, saludos
hi it is, saludos
It’s nice to meet you,saludos
It’s a pleasure to meet you,saludos
Morning!,saludos
G’day,saludos
Grettings!,saludos
Howdy,saludos
What’s new
Hola,saludos
hola como estas,saludos
buenos dias,saludos
que onda,saludos
Buenas tardes,saludos
Mucho gusto,saludos
Ey!,saludos
Hola como estas,saludos
ola como esta,saludos
Que hay!,saludos
Buenos Dias,saludos
Buenas,saludo
thanks bye, despedidas
bye,despedidas
au revoir,despedidas
goodbye,despedidas
farewall,despedidas
have a good day,despedidas
have a nice day,despedidas
take care,despedidas
Bye!,despedidas
Bye bye!,despedidas
Later!,despedidas
see you later,despedidas
have a good one,despedidas
so long,despedidas
all right then,despedidas
peace!,despedidas
peace,despedidas
i’m out,despedidas
smell you later,despedidas
Adios,despedidas
Ciao,despedidas
Arigato,despedidas
See you later,despedidas
See you soon,despedidas
I’ve got get going,despedidas
I must be going,despedidas
Take it easy,despedidas
I’m off,despedidas
Goodnight
peace,despedidas
Hasta luego,despedidas
nos vemos gracias,despedidas
Muchas gracias nos vemos,despedidas
Hasta pronto,despedidas
gracias por todo,despedidas
fue un placer,despedidas
gracias por todo,despedidas
I would like to buy this product,cotizar
I wanna buy,cotizar
I would like to buy,cotizar
buy this,cotizar
give me the price,cotizar
the price of this product,cotizar
I want to buy, cotizar
Can you give me the price, cotizar
How much is it,cotizar
How much does this cost?,cotizar
How much is this?,cotizar
What does this cost?,cotizar
How much does it cost?,cotizar
How much is it?,cotizar
What does it cost?,cotizar
What is the price?,cotizar
Could you please tell me how much this costs?,cotizar
I want to quote,cotizar
I would like to quote,cotizar
like to quote,cotizar
Can I make a quote about this product,cotizar
Check the price of,cotizar
Me gustaría cotizar,cotizar
cuanto cuesta este producto,cotizar
cuanto cuesta?,cotizar
cuál es el precio?,cotizar
cuál sería el precio,cotizar
A cuanto esta?,cotizar
Quiero hacer una cotización,cotizar
estos productos en cuanto saldrian,cotizar
En cuanto saldrian?,cotizar
Me podría proporcionar el precio?,cotizar
Me podria proporcionar la cotización?,cotizar
A cuanto me lo dejaría?,cotizar
A cuanto esta?,cotizar
May I have Bosch contact information?,infoB
Can I have Boch contact info?infoB
Bosch info,infoB
I want the bosch contact info,infoB
I would like to request Bosch contact information,infoB
I need bosch information,infoB
I want more information,infoB
I could have more info?,infoB
Me podria dar informacion de la empresa?,infoB
Necesito informacion de la empresa,infoB

